"USER","FRIENDS"
"USER-6141","USER-136"
"USER-6142","USER-3606"
"USER-6143","USER-3204"
"USER-6144","USER-6145"
"USER-6145","USER-629"
"USER-5909","USER-401"
"USER-6146","USER-5651"
"USER-6148","USER-525"
"USER-6147","USER-890"
"USER-6149","USER-607"
"USER-6150","USER-348"
"USER-6154","USER-3527"
"USER-6153","USER-1250"
"USER-6152","USER-6154"
"USER-6155","USER-213"
"USER-6156","USER-4572"
"USER-6157","USER-657"
"USER-6158","USER-301"
"USER-6161","USER-167"
"USER-6160","USER-303"
"USER-6159","USER-49"
"USER-6169","USER-6168"
"USER-6168","USER-1300"
"USER-6167","USER-7"
"USER-6166","USER-6165"
"USER-6165","USER-4487"
"USER-6164","USER-6163"
"USER-6163","USER-1297"
"USER-6170","USER-70"
"USER-6174","USER-6173"
"USER-6173","USER-1878"
"USER-6172","USER-6171"
"USER-6171","USER-2272"
"USER-6175","USER-49"
"USER-6176","USER-49"
"USER-6181","USER-6180"
"USER-6180","USER-6179"
"USER-6179","USER-6178"
"USER-6178","USER-6177"
"USER-6183","USER-7"
"USER-6182","USER-4736"
"USER-6184","USER-1854"
"USER-6185","USER-4933"
"USER-4932","USER-66"
"USER-6186","USER-865"
"USER-6187","USER-66"
"USER-6189","USER-6188"
"USER-6190","USER-6187"
"USER-6191","USER-142"
"USER-6192","USER-274"
"USER-6193","USER-1310"
"USER-6194","USER-237"
"USER-6196","USER-595"
"USER-6195","USER-6196"
"USER-6197","USER-458"
"USER-6198","USER-16"
"USER-6201","USER-6200"
"USER-6200","USER-474"
"USER-6199","USER-29"
"USER-6204","USER-1340"
"USER-6203","USER-401"
"USER-6205","USER-7"
"USER-6206","USER-7"
"USER-6207","USER-4343"
"USER-6208","USER-425"
"USER-5008","USER-4337"
"USER-6209","USER-1926"
"USER-6210","USER-238"
"USER-6211","USER-2438"
"USER-6213","USER-614"
"USER-6212","USER-40"
"USER-6215","USER-6214"
"USER-6214","USER-5841"
"USER-6216","USER-620"
"USER-6217","USER-6218"
"USER-6221","USER-6220"
"USER-6220","USER-6219"
"USER-6219","USER-5429"
"USER-6218","USER-1963"
"USER-6222","USER-442"
"USER-6224","USER-830"
"USER-6225","USER-1289"
"USER-6226","USER-2027"
"USER-6229","USER-6228"
